No.,Title,Release Year,Movie Info,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),License
818,The Muppets (2011),2011,A Muppet fanatic with some help from his 2 human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.,Walt Disney Studios Motion Pictures,89,77,165,PG
819,Inside Man (2006),2006,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Universal Pictures,89,97,186,R
820,Back to the Future Part III (1990),1990,"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",Universal Pictures,88,157,245,PG
821,Waterworld (1995),1995,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",Universal Pictures,88,176,264,PG-13
822,Starsky & Hutch (2004),2004,"Two streetwise cops bust criminals in their red and white Ford Gran Torino, with the help of a police snitch called ""Huggy Bear"".",Warner Bros.,88,82,170,PG-13
823,Along Came Polly (2004),2004,A buttoned-up newlywed finds his strictly organized life descend into chaos when he falls in love with an old classmate.,Universal Pictures,88,90,178,PG-13
824,The Hand that Rocks the Cradle (1992),1992,"After her humiliated husband kills himself, an embittered pregnant widow loses her child, and embarks on a mission of vengeance against a woman and her family.",Walt Disney Studios Motion Pictures,88,88,88,PG
825,Entrapment (1999),1999,An insurance agent is sent by her employer to track down and help capture an art thief.,Twentieth Century Fox,88,125,212,PG-13
826,Peter Pan (1953),1953,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.",Walt Disney Studios Motion Pictures,87,87,87,PG
827,Pineapple Express (2008),2008,A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.,Sony Pictures Entertainment (SPE),87,14,102,R
828,Miss Peregrine's Home for Peculiar Children (2016),2016,"When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",Twentieth Century Fox,87,209,296,PG-13
829,Sisters (2015),2015,Two sisters decide to throw one last house party before their parents sell their family home.,Universal Pictures,87,18,105,R
830,Saw II (2005),2005,A detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as Jigsaw.,Lionsgate,87,61,148,R
831,The Naked Gun 2½: The Smell of Fear (1991),1991,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,Paramount Pictures,87,87,87,PG-13
832,The Campaign (2012),2012,An incumbent Representative embroiled in personal scandal faces a no-holds-barred challenge from a naive newcomer funded by two unscrupulous billionaire lobbyist brothers.,Warner Bros.,87,18,105,PG-13
833,The Accountant (2016),2016,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",Warner Bros.,86,69,155,R
834,Dumb and Dumber To (2014),2014,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",Universal Pictures,86,84,170,PG-13
835,Cruella (2021),2021,A live-action prequel feature film following a young Cruella de Vil.,Walt Disney Studios Motion Pictures,86,147,233,PG
