No.,Title,Release Year,Movie Info,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),License
283,Fast & Furious Presents: Hobbs & Shaw (2019),2019,"Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",Universal Pictures,"$173,956,935.00","$585,100,000.00","$759,056,935.00",PG-13
284,Apollo 13 (1995),1995,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Universal Pictures,"$173,837,933.00","$181,077,570.00","$355,237,933.00",PG
285,Home Alone 2: Lost in New York (1992),1992,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Twentieth Century Fox,"$173,585,516.00","$185,409,334.00","$358,994,850.00",PG
286,National Treasure (2004),2004,A historian races to find the legendary Templar Treasure before a team of mercenaries.,Walt Disney Studios Motion Pictures,"$173,008,894.00","$174,503,424.00","$347,512,318.00",PG
287,F9: The Fast Saga (2021),2021,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,Universal Pictures,"$173,005,945.00","$553,223,556.00","$726,229,501.00",PG-13
288,Air Force One (1997),1997,"Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",Sony Pictures Entertainment (SPE),"$172,956,409.00","$142,200,000.00","$315,156,409.00",R
289,Rain Man (1988),1988,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",Metro-Goldwyn-Mayer (MGM),"$172,825,435.00","$182,000,000.00","$354,825,435.00",PG
290,Pirates of the Caribbean: Dead Men Tell No Tales (2017),2017,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,Walt Disney Studios Motion Pictures,"$172,558,876.00","$622,322,566.00","$794,881,442.00",PG-13
291,TRON: Legacy (2010),2010,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,Walt Disney Studios Motion Pictures,"$172,062,763.00","$228,001,089.00","$400,063,852.00",PG
292,Mary Poppins Returns (2018),2018,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",Walt Disney Studios Motion Pictures,"$171,958,438.00","$177,587,704.00","$349,546,142.00",PG
293,The Matrix (1999),1999,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Warner Bros.,"$171,479,930.00","$295,145,800.00","$466,625,730.00",R
294,True Grit (2010),2010,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Paramount Pictures,"$171,243,005.00","$81,033,922.00","$252,276,927.00",PG-13
295,Tarzan (1999),1999,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,Walt Disney Studios Motion Pictures,"$171,091,819.00","$277,100,000.00","$448,191,819.00",PG
296,John Wick: Chapter 3 - Parabellum (2019),2019,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",Lionsgate,"$171,015,687.00","$156,266,092.00","$327,281,779.00",R
297,A Beautiful Mind (2001),2001,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Universal Pictures,"$170,742,341.00","$146,048,916.00","$316,791,257.00",PG-13
298,Chicago (2002),2002,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",Miramax,"$170,687,518.00","$136,089,214.00","$306,776,732.00",PG-13
299,The Help (2011),2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Walt Disney Studios Motion Pictures,"$169,708,112.00","$46,931,000.00","$216,639,112.00",PG-13
300,Hotel Transylvania 2 (2015),2015,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.",Sony Pictures Entertainment (SPE),"$169,700,110.00","$305,486,596.00","$475,186,706.00",PG
301,Hidden Figures (2016),2016,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Twentieth Century Fox,"$169,607,287.00","$66,349,611.00","$235,956,898.00",PG
302,Bridesmaids (2011),2011,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",Universal Pictures,"$169,106,725.00","$119,276,798.00","$288,383,523.00",R
303,Quantum of Solace (2008),2008,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,Sony Pictures Entertainment (SPE),"$168,368,427.00","$421,212,055.00","$589,580,482.00",PG-13
304,Wild Hogs (2007),2007,"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos.",Walt Disney Studios Motion Pictures,"$168,273,550.00","$85,351,877.00","$253,625,427.00",R
305,Kong: Skull Island (2017),2017,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",Warner Bros.,"$168,052,812.00","$398,600,000.00","$566,652,812.00",PG-13
306,Three Men and a Baby (1987),1987,Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.,Walt Disney Studios Motion Pictures,"$167,780,960.00","$167,780,960.00","$167,780,960.00",PG
307,Gone Girl (2014),2014,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Twentieth Century Fox,"$167,767,189.00","$201,563,174.00","$369,330,363.00",R
